17.75	28.5	13.75
17	28.5	12.5
16.5	26.5	12.75
17	25.5	13
16.5	29.5	13
16	27.75	15.25
16.5	26.75	15.25
15.75	28.25	16.5
13.25	27	17.25
14.75	29.25	17.25
15	29.5	18.5
15.5	30	17
15.5	31.25	17
17	27.25	17
17	26.75	19
16.75	29.75	19
16.75	31	19
17.25	30.75	19
17.75	29.25	19
17.5	30.75	19.75
16.25	32.25	21.75
16.25	29.75	18.25
17.75	34	18.25
17.5	32.5	18.75
19.25	31.75	18
19.5	32.25	17
18.75	30.75	17.75
20.25	31.25	17.75
20	34.75	20
21.5	34	18
21.5	33	17
20.5	30.75	18.5
21.5	33.5	18.5
20	32.75	18
20	31.75	20
19	32.5	20
18.75	33.75	18.25
18.5	29.75	20.5
18.5	36.25	17.25
18.5	39	17.5
18.25	34.25	17.75
19	38.5	17.75
21.75	35.25	17.75
21	36.5	18
19.25	35	17.25
19.75	36.5	18.75
19.75	34.5	21.75
17.5	33.25	20.75
17.5	34.75	21.5
20.5	35.75	21.5
22	36.5	22.25
22.5	31.75	21.75
20.75	35.5	18.5
19	37.25	19.75
19	35.75	20
23.25	34.25	20
23.75	36.25	19.25
23.25	35	18.75
23.25	35.75	19.25
23.25	35	19.25
23.25	32.25	21.25
23	34	21.75
22.75	35.25	19
24.75	34.75	21.75
22.75	34.25	24.5
22.75	36.5	25
24	35.5	26.25
22.25	36.25	26.5
22.25	31.75	25.75
25	34.25	26.25
24	35	26.25
23.25	29.75	26.25
23.25	36.25	23.5
25.25	32.75	24.75
26.25	35.25	23.25
24.75	35.5	24.25
24.5	33.5	23.5
25.75	30.5	26.25
27.25	34.25	25.75
27.25	33.75	26.25
26.75	32.75	27.75
26	30.5	26.75
26.25	31.25	26.25
27.5	28.75	25
27.75	31	25.75
27.75	27.75	25
26.75	31.25	27.5
27.25	34	28.25
25.5	34	28.5
27.25	33.5	27.25
26	31.75	27
26	32.25	24.75
23.5	32	24.75
24.25	32.75	25.25
24.5	33.5	26
28	34	26.25
24.75	32	27.5
23.75	32.25	27.75
25.75	33.5	27.25
25	32.25	25.75
25	31.5	24.75
25.25	31.25	25.75
25.5	30	28
28.5	30.75	28
29.75	33	28
28	31.75	28
28	31	27.25
27.25	31.75	26.25
26.5	30.5	25
24	27.75	29
27.25	28.5	29.25
27.75	28.25	25.75
26.75	28.75	28
28.25	27.25	28.25
29	28	28.5
29	25.75	26.75
28.75	26.5	27
28	30.25	27.25
27	30.25	27.25
28.75	22.75	26.5
30.75	26	27.25
30.75	28.25	28
30.25	27.25	30.25
29.25	26.75	30
29.75	25.75	32.75
25	26.25	32.25
33	26.5	33.5
33	24.5	34.75
34.5	23.25	34
33.25	24	35.25
31.25	23.25	35
33	28.5	35
32.75	28.5	34.25
31.5	26	31
31.25	25.25	32.75
30.5	26	35.5
33.25	23.75	37.25
30.25	25	37.25
31	21.5	37.5
32.75	23.25	40
34	22.75	38
30.75	22.25	38.75
34	23.25	38.25
32.5	24	36.5
32.75	23.25	37.5
32.25	25.25	38.75
33.75	25.25	38.5
29.75	25.25	40
34	21.75	36.75
32.75	24.25	35.25
32.75	22.25	33.75
29.5	25.25	33.75
32.5	22.25	30.75
30.5	24	30.25
32.25	22	32.75
34.25	21.75	33.75
34	22.25	36.75
32.5	21	38.25
34	21.5	36
33.25	21	36
36.25	21	35.75
34.5	25.5	37.25
36	23.5	37.25
31.25	22	35.5
34	24	36.25
35.5	24	36
33.5	23.75	39.25
36	23	39.5
35	21.5	33
28	22.5	37.25
36.75	21.75	37.25
33.25	20.5	36.75
33	21	35.5
34.25	23.5	36.75
34.5	20.5	33.25
35	21	34.5
26.5	19	38.33
27	19.33	43.5
34	19.33	41.5
36	17	45
31	21.67	41.5
33	19.33	40
36	15	36.5
36	18.5	36.5
34	24	30
32	14	35.5
30	17.5	36
31	17.5	35
29	20.5	32.5
36	18.5	33
30.5	25	31
35.5	21	32
32.5	24	30
34.5	23	31.5
36	13	31.5
32.5	13.5	34
26	13.5	32.5
28	14.5	34
38	11	30
