Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
15:11:46	102		-75 dBm                     -69 dBm                     -71 dBm
15:11:49	103		-75 dBm                     -69 dBm                     -72 dBm
15:11:51	104		-75 dBm                     -67 dBm                     -71 dBm
15:11:54	105		-75 dBm                     -67 dBm                     -71 dBm
15:11:56	106		-74 dBm                     -67 dBm                     -71 dBm
15:11:59	107		-74 dBm                     -68 dBm                     -72 dBm
15:12:01	108		-74 dBm                     -68 dBm                     -72 dBm
15:12:03	109		-73 dBm                     -73 dBm                     -72 dBm
15:12:06	110		-73 dBm                     -72 dBm                     -73 dBm
15:12:08	111		-73 dBm                     -71 dBm                     -73 dBm
15:12:11	112		-68 dBm                     -72 dBm                     -74 dBm
15:12:13	113		-78 dBm                     -72 dBm                     -74 dBm
15:12:16	114		-78 dBm                     -72 dBm                     -74 dBm
15:12:18	115		-73 dBm                     -72 dBm                     -74 dBm
15:12:20	116		-73 dBm                     -70 dBm                     -74 dBm
15:12:26	117		-69 dBm                     -70 dBm                     -74 dBm
15:12:29	118		-69 dBm                     -70 dBm                     -71 dBm
15:12:31	119		-69 dBm                     -70 dBm                     -71 dBm
15:12:34	120		-73 dBm                     -71 dBm                     -72 dBm
15:12:36	121		-73 dBm                     -71 dBm                     -72 dBm
15:12:39	122		-68 dBm                     -71 dBm                     -76 dBm
15:12:41	123		-74 dBm                     -74 dBm                     -68 dBm
15:12:43	124		-67 dBm                     -74 dBm                     -70 dBm
15:12:46	125		-66 dBm                     -74 dBm                     -69 dBm
15:12:49	126		-68 dBm                     -74 dBm                     -69 dBm
15:12:51	127		-73 dBm                     -73 dBm                     -69 dBm
15:12:53	128		-74 dBm                     -74 dBm                     -69 dBm
15:12:56	129		-88 dBm                     -74 dBm                     -69 dBm
15:12:58	130		-65 dBm                     -74 dBm                     -69 dBm
15:13:01	131		-68 dBm                     -74 dBm                     -69 dBm
15:13:03	132		-70 dBm                     -74 dBm                     -72 dBm
15:13:05	133		-69 dBm                     -74 dBm                     -72 dBm
15:13:08	134		-74 dBm                     -74 dBm                     -72 dBm
15:13:10	135		-73 dBm                     -74 dBm                     -72 dBm
15:13:13	136		-68 dBm                     -71 dBm                     -72 dBm
15:13:15	137		-71 dBm                     -80 dBm                     -71 dBm
15:13:18	138		-73 dBm                     -80 dBm                     -72 dBm
15:13:20	139		-65 dBm                     -80 dBm                     -71 dBm
15:13:23	140		-68 dBm                     -80 dBm                     -66 dBm
15:13:25	141		-72 dBm                     -80 dBm                     -66 dBm
15:13:27	142		-70 dBm                     -76 dBm                     -63 dBm
15:13:30	143		-69 dBm                     -76 dBm                     -65 dBm
15:13:32	144		-67 dBm                     -76 dBm                     -60 dBm
15:13:34	145		-67 dBm                     -71 dBm                     -62 dBm
15:13:37	146		-65 dBm                     -71 dBm                     -61 dBm
15:13:39	147		-69 dBm                     -71 dBm                     -59 dBm
15:13:42	148		-67 dBm                     -71 dBm                     -57 dBm
15:13:44	149		-67 dBm                     -74 dBm                     -65 dBm
15:13:46	150		-68 dBm                     -71 dBm                     -60 dBm
15:13:49	151		-70 dBm                     -71 dBm                     -58 dBm
15:13:51	152		-73 dBm                     -71 dBm                     -61 dBm
15:13:53	153		-63 dBm                     -79 dBm                     -66 dBm
15:13:56	154		-73 dBm                     -76 dBm                     -65 dBm
15:13:58	155		-73 dBm                     -76 dBm                     -63 dBm
15:14:01	156		-71 dBm                     -79 dBm                     -56 dBm
15:14:03	157		-73 dBm                     -79 dBm                     -54 dBm
15:14:05	158		-69 dBm                     -79 dBm                     -54 dBm
15:14:08	159		-66 dBm                     -77 dBm                     -54 dBm
15:14:10	160		-70 dBm                     -73 dBm                     -53 dBm
15:14:13	161		-69 dBm                     -73 dBm                     -57 dBm
15:14:15	162		-64 dBm                     -73 dBm                     -51 dBm
15:14:18	163		-62 dBm                     -75 dBm                     -53 dBm
15:14:20	164		-60 dBm                     -75 dBm                     -51 dBm
15:14:22	165		-71 dBm                     -77 dBm                     -49 dBm
15:14:25	166		-65 dBm                     -77 dBm                     -52 dBm
15:14:27	167		-66 dBm                     -80 dBm                     -49 dBm
15:14:30	168		-68 dBm                     -81 dBm                     -47 dBm
15:14:32	169		-66 dBm                     -77 dBm                     -49 dBm
15:14:35	170		-67 dBm                     -77 dBm                     -53 dBm
15:14:37	171		-66 dBm                     -80 dBm                     -53 dBm
15:14:39	172		-61 dBm                     -84 dBm                     -59 dBm
15:14:42	173		-68 dBm                     -84 dBm                     -62 dBm
15:14:46	174		-66 dBm                     -79 dBm                     -63 dBm
15:14:48	175		-69 dBm                     -79 dBm                     -66 dBm
15:14:51	176		-69 dBm                     -82 dBm                     -62 dBm
15:14:53	177		-62 dBm                     -82 dBm                     -68 dBm
15:14:55	178		-64 dBm                     -81 dBm                     -64 dBm
15:14:58	179		-62 dBm                     -87 dBm                     -69 dBm
15:15:00	180		-69 dBm                     -87 dBm                     -61 dBm
15:15:03	181		-68 dBm                     -84 dBm                     -63 dBm
15:15:05	182		-71 dBm                     -88 dBm                     -62 dBm
15:15:07	183		-62 dBm                     -88 dBm                     -64 dBm
15:15:10	184		-66 dBm                     -86 dBm                     -64 dBm
15:15:12	185		-66 dBm                     -75 dBm                     -75 dBm
15:15:14	186		-60 dBm                     -85 dBm                     -64 dBm
15:15:17	187		-60 dBm                     -78 dBm                     -63 dBm
15:15:19	188		-67 dBm                     -84 dBm                     -68 dBm
15:15:21	189		-67 dBm                     -81 dBm                     -67 dBm
15:15:24	190		-70 dBm                     -81 dBm                     -64 dBm
15:15:26	191		-68 dBm                     -74 dBm                     -70 dBm
15:15:29	192		-68 dBm                     -80 dBm                     -67 dBm
15:15:31	193		-62 dBm                     -77 dBm                     -66 dBm
15:15:33	194		-73 dBm                     -80 dBm                     -68 dBm
15:15:36	195		-64 dBm                     -83 dBm                     -65 dBm
15:15:38	196		-70 dBm                     -82 dBm                     -69 dBm
15:15:40	197		-63 dBm                     -82 dBm                     -69 dBm
15:15:43	198		-63 dBm                     -80 dBm                     -67 dBm
15:15:45	199		-60 dBm                     -87 dBm                     -72 dBm
15:15:47	200		-74 dBm                     -87 dBm                     -73 dBm
15:15:50	201		-72 dBm                     -85 dBm                     -74 dBm
15:15:52	202		-62 dBm                     -82 dBm                     -74 dBm
Done!!
