Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
17:23:43	106		-80 dBm                     -74 dBm                     -68 dBm
17:23:45	107		-74 dBm                     -75 dBm                     -75 dBm
17:23:48	108		-74 dBm                     -85 dBm                     -73 dBm
17:23:50	109		-75 dBm                     -85 dBm                     -68 dBm
17:23:52	110		-75 dBm                     -84 dBm                     -65 dBm
17:23:54	111		-87 dBm                     -88 dBm                     -69 dBm
17:23:57	112		-78 dBm                     -91 dBm                     -68 dBm
17:23:59	113		-78 dBm                     -91 dBm                     -78 dBm
17:24:04	114		-75 dBm                     -83 dBm                     -76 dBm
17:24:07	115		-79 dBm                     -83 dBm                     -74 dBm
17:24:09	116		-77 dBm                     -83 dBm                     -70 dBm
17:24:11	117		-72 dBm                     -90 dBm                     -72 dBm
17:24:14	118		-72 dBm                     -83 dBm                     -80 dBm
17:24:16	119		-72 dBm                     -90 dBm                     -80 dBm
17:24:18	120		-74 dBm                     -90 dBm                     -69 dBm
17:24:21	121		-74 dBm                     -90 dBm                     -69 dBm
17:24:23	122		-74 dBm                     -90 dBm                     -77 dBm
17:24:28	123		-79 dBm                     -77 dBm                     -69 dBm
17:24:31	124		-79 dBm                     -87 dBm                     -74 dBm
17:24:33	125		-79 dBm                     -87 dBm                     -72 dBm
17:24:35	126		-80 dBm                     -87 dBm                     -67 dBm
17:24:37	127		-80 dBm                     -76 dBm                     -73 dBm
17:24:40	128		-82 dBm                     -73 dBm                     -67 dBm
17:24:42	129		-86 dBm                     -77 dBm                     -73 dBm
17:24:44	130		-86 dBm                     -77 dBm                     -73 dBm
17:24:47	131		-82 dBm                     -80 dBm                     -73 dBm
17:24:49	132		-82 dBm                     -76 dBm                     -68 dBm
17:24:51	133		-81 dBm                     -73 dBm                     -76 dBm
17:24:53	134		-84 dBm                     -73 dBm                     -68 dBm
17:24:56	135		-80 dBm                     -80 dBm                     -71 dBm
17:24:58	136		-77 dBm                     -79 dBm                     -78 dBm
17:25:00	137		-78 dBm                     -79 dBm                     -69 dBm
17:25:02	138		-78 dBm                     -83 dBm                     -74 dBm
17:25:05	139		-78 dBm                     -82 dBm                     -72 dBm
17:25:07	140		-89 dBm                     -83 dBm                     -72 dBm
17:25:09	141		-80 dBm                     -82 dBm                     -72 dBm
17:25:12	142		-76 dBm                     -79 dBm                     -74 dBm
17:25:14	143		-76 dBm                     -79 dBm                     -68 dBm
17:25:16	144		-76 dBm                     -80 dBm                     -71 dBm
17:25:19	145		-83 dBm                     -80 dBm                     -79 dBm
17:25:24	146		-82 dBm                     -86 dBm                     -71 dBm
17:25:26	147		-83 dBm                     -81 dBm                     -72 dBm
17:25:29	148		-82 dBm                     -81 dBm                     -77 dBm
17:25:31	149		-83 dBm                     -81 dBm                     -68 dBm
17:25:37	150		-83 dBm                     -84 dBm                     -71 dBm
17:25:39	151		-83 dBm                     -84 dBm                     -83 dBm
17:25:42	152		-85 dBm                     -85 dBm                     -74 dBm
17:25:44	153		-85 dBm                     -85 dBm                     -74 dBm
17:25:46	154		-85 dBm                     -82 dBm                     -81 dBm
17:25:48	155		-77 dBm                     -88 dBm                     -74 dBm
17:25:51	156		-77 dBm                     -88 dBm                     -74 dBm
17:25:53	157		-82 dBm                     -88 dBm                     -73 dBm
17:25:58	158		-77 dBm                     -88 dBm                     -79 dBm
17:26:00	159		-80 dBm                     -88 dBm                     -71 dBm
17:26:03	160		-81 dBm                     -88 dBm                     -73 dBm
17:26:05	161		-81 dBm                     -85 dBm                     -81 dBm
17:26:07	162		-81 dBm                     -80 dBm                     -81 dBm
17:26:10	163		-81 dBm                     -80 dBm                     -78 dBm
17:26:12	164		-78 dBm                     -85 dBm                     -72 dBm
17:26:14	165		-81 dBm                     -85 dBm                     -85 dBm
17:26:17	166		-82 dBm                     -83 dBm                     -81 dBm
17:26:19	167		-93 dBm                     -83 dBm                     -77 dBm
17:26:21	168		-86 dBm                     -82 dBm                     -75 dBm
17:26:23	169		-86 dBm                     -82 dBm                     -81 dBm
17:26:26	170		-86 dBm                     -82 dBm                     -77 dBm
17:26:28	171		-86 dBm                     -82 dBm                     -78 dBm
17:26:30	172		-86 dBm                     -82 dBm                     -78 dBm
17:26:33	173		-86 dBm                     -82 dBm                     -84 dBm
17:26:35	174		-89 dBm                     -84 dBm                     -81 dBm
17:26:37	175		-89 dBm                     -84 dBm                     -81 dBm
17:26:40	176		-89 dBm                     -81 dBm                     -78 dBm
17:26:42	177		-82 dBm                     -79 dBm                     -78 dBm
17:26:44	178		-81 dBm                     -79 dBm                     -79 dBm
17:26:46	179		-79 dBm                     -82 dBm                     -74 dBm
17:26:49	180		-83 dBm                     -84 dBm                     -72 dBm
17:26:51	181		-83 dBm                     -84 dBm                     -77 dBm
17:26:53	182		-85 dBm                     -84 dBm                     -74 dBm
17:26:58	183		-88 dBm                     -84 dBm                     -79 dBm
17:27:01	184		-81 dBm                     -84 dBm                     -75 dBm
17:27:03	185		-82 dBm                     -84 dBm                     -78 dBm
17:27:06	186		-89 dBm                     -92 dBm                     -82 dBm
17:27:08	187		-79 dBm                     -92 dBm                     -76 dBm
17:27:10	188		-84 dBm                     -84 dBm                     -75 dBm
17:27:13	189		-84 dBm                     -84 dBm                     -74 dBm
17:27:15	190		-84 dBm                     -84 dBm                     -86 dBm
17:27:17	191		-80 dBm                     -88 dBm                     -75 dBm
17:27:19	192		-80 dBm                     -90 dBm                     -81 dBm
17:27:22	193		-81 dBm                     -90 dBm                     -81 dBm
17:27:24	194		-90 dBm                     -90 dBm                     -75 dBm
17:27:26	195		-90 dBm                     -90 dBm                     -75 dBm
17:27:29	196		-80 dBm                     -90 dBm                     -70 dBm
17:27:31	197		-80 dBm                     -90 dBm                     -79 dBm
17:27:33	198		-80 dBm                     -90 dBm                     -77 dBm
17:27:36	199		-80 dBm                     -90 dBm                     -75 dBm
17:27:38	200		-80 dBm                     -91 dBm                     -79 dBm
