Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
18:10:54	1		0 dBm                       0 dBm                       -82 dBm
18:10:57	2		0 dBm                       -89 dBm                     -82 dBm
18:10:59	3		0 dBm                       -89 dBm                     -82 dBm
18:11:02	4		0 dBm                       -88 dBm                     -82 dBm
18:11:04	5		0 dBm                       -88 dBm                     -87 dBm
18:11:06	6		0 dBm                       -86 dBm                     -87 dBm
18:11:09	7		0 dBm                       -86 dBm                     -86 dBm
18:11:11	8		0 dBm                       -86 dBm                     -85 dBm
18:11:13	9		-91 dBm                     -86 dBm                     -85 dBm
18:11:16	10		-91 dBm                     -88 dBm                     -85 dBm
18:11:18	11		-91 dBm                     -88 dBm                     -85 dBm
18:11:20	12		-91 dBm                     -88 dBm                     -86 dBm
18:11:22	13		-91 dBm                     -88 dBm                     -88 dBm
18:11:27	14		-87 dBm                     -88 dBm                     -88 dBm
18:11:59	15		-88 dBm                     -82 dBm                     -76 dBm
18:12:01	16		-88 dBm                     -82 dBm                     -79 dBm
18:12:03	17		-86 dBm                     -82 dBm                     -79 dBm
18:12:06	18		-84 dBm                     -83 dBm                     -79 dBm
18:12:08	19		-84 dBm                     -84 dBm                     -76 dBm
18:12:11	20		-84 dBm                     -84 dBm                     -82 dBm
18:12:13	21		-84 dBm                     -90 dBm                     -82 dBm
18:12:15	22		-82 dBm                     -90 dBm                     -80 dBm
18:12:18	23		-82 dBm                     -90 dBm                     -85 dBm
18:12:20	24		-89 dBm                     -89 dBm                     -85 dBm
18:12:22	25		-89 dBm                     -89 dBm                     -85 dBm
18:12:25	26		-89 dBm                     -89 dBm                     -85 dBm
18:12:30	27		-89 dBm                     -89 dBm                     -85 dBm
18:12:33	28		-89 dBm                     -88 dBm                     -85 dBm
18:12:35	29		-89 dBm                     -89 dBm                     -85 dBm
18:12:40	30		-88 dBm                     -89 dBm                     -85 dBm
18:12:43	31		-88 dBm                     -89 dBm                     -85 dBm
18:12:45	32		-88 dBm                     -89 dBm                     -83 dBm
18:12:47	33		-88 dBm                     -85 dBm                     -83 dBm
18:12:50	34		-88 dBm                     -88 dBm                     -83 dBm
18:12:52	35		-88 dBm                     -92 dBm                     -83 dBm
18:12:54	36		-88 dBm                     -92 dBm                     -83 dBm
18:12:56	37		-90 dBm                     -90 dBm                     -83 dBm
18:12:59	38		-90 dBm                     -90 dBm                     -80 dBm
18:13:01	39		-90 dBm                     -87 dBm                     -80 dBm
18:13:03	40		-89 dBm                     -87 dBm                     -82 dBm
18:13:06	41		-89 dBm                     -84 dBm                     -82 dBm
18:13:08	42		-85 dBm                     -84 dBm                     -78 dBm
18:13:10	43		-87 dBm                     -84 dBm                     -75 dBm
18:13:13	44		-87 dBm                     -84 dBm                     -75 dBm
18:13:18	45		-87 dBm                     -86 dBm                     -75 dBm
18:13:20	46		-87 dBm                     -86 dBm                     -75 dBm
18:13:23	47		-87 dBm                     -86 dBm                     -75 dBm
18:13:25	48		-85 dBm                     -87 dBm                     -77 dBm
18:13:27	49		-89 dBm                     -83 dBm                     -73 dBm
18:13:29	50		-89 dBm                     -83 dBm                     -80 dBm
18:13:32	51		-89 dBm                     -83 dBm                     -72 dBm
18:13:34	52		-92 dBm                     -80 dBm                     -75 dBm
18:13:39	53		-87 dBm                     -80 dBm                     -75 dBm
18:13:45	54		-84 dBm                     -88 dBm                     -75 dBm
18:13:47	55		-84 dBm                     -88 dBm                     -74 dBm
18:14:37	56		-88 dBm                     -87 dBm                     -77 dBm
18:14:40	57		-88 dBm                     -85 dBm                     -88 dBm
18:14:43	58		-88 dBm                     -85 dBm                     -81 dBm
18:14:45	59		-88 dBm                     -85 dBm                     -81 dBm
18:14:48	60		-88 dBm                     -85 dBm                     -81 dBm
18:14:50	61		-88 dBm                     -84 dBm                     -81 dBm
18:14:53	62		-86 dBm                     -87 dBm                     -81 dBm
18:14:56	63		-82 dBm                     -80 dBm                     -81 dBm
18:14:58	64		-82 dBm                     -83 dBm                     -81 dBm
18:15:01	65		-82 dBm                     -83 dBm                     -88 dBm
18:15:04	66		-82 dBm                     -82 dBm                     -88 dBm
18:15:06	67		-82 dBm                     -81 dBm                     -79 dBm
18:15:09	68		-82 dBm                     -81 dBm                     -79 dBm
18:15:11	69		-87 dBm                     -89 dBm                     -79 dBm
18:15:14	70		-87 dBm                     -87 dBm                     -79 dBm
18:15:17	71		-91 dBm                     -86 dBm                     -79 dBm
18:15:20	72		-91 dBm                     -86 dBm                     -79 dBm
18:15:25	73		-91 dBm                     -86 dBm                     -79 dBm
18:15:28	74		-91 dBm                     -84 dBm                     -79 dBm
18:15:30	75		-91 dBm                     -84 dBm                     -80 dBm
18:15:33	76		-91 dBm                     -84 dBm                     -82 dBm
18:15:35	77		-91 dBm                     -85 dBm                     -84 dBm
18:15:42	78		-91 dBm                     -85 dBm                     -84 dBm
18:15:44	79		-91 dBm                     -84 dBm                     -80 dBm
18:15:47	80		-88 dBm                     -85 dBm                     -80 dBm
18:15:59	81		-88 dBm                     -85 dBm                     -84 dBm
18:16:02	82		-88 dBm                     -85 dBm                     -84 dBm
18:16:04	83		-88 dBm                     -85 dBm                     -87 dBm
18:16:07	84		-88 dBm                     -85 dBm                     -85 dBm
18:16:10	85		-88 dBm                     -85 dBm                     -89 dBm
18:16:12	86		-88 dBm                     -85 dBm                     -89 dBm
18:16:15	87		-88 dBm                     -85 dBm                     -89 dBm
18:16:17	88		-88 dBm                     -85 dBm                     -89 dBm
18:16:20	89		-88 dBm                     -85 dBm                     -88 dBm
18:16:23	90		-88 dBm                     -88 dBm                     -82 dBm
18:16:26	91		-88 dBm                     -88 dBm                     -82 dBm
18:16:28	92		-88 dBm                     -88 dBm                     -82 dBm
18:16:31	93		-88 dBm                     -88 dBm                     -82 dBm
18:16:33	94		-88 dBm                     -86 dBm                     -82 dBm
18:16:37	95		-88 dBm                     -83 dBm                     -82 dBm
18:16:39	96		-88 dBm                     -83 dBm                     -82 dBm
18:16:42	97		-88 dBm                     -83 dBm                     -92 dBm
18:16:45	98		-88 dBm                     -83 dBm                     -92 dBm
18:16:48	99		-88 dBm                     -88 dBm                     -92 dBm
18:17:03	100		-88 dBm                     -88 dBm                     -92 dBm
18:17:06	101		-88 dBm                     -88 dBm                     -92 dBm
18:17:08	102		-88 dBm                     -88 dBm                     -92 dBm
18:17:11	103		-88 dBm                     -88 dBm                     -92 dBm
18:17:13	104		-88 dBm                     -88 dBm                     -92 dBm
18:17:16	105		-88 dBm                     -88 dBm                     -92 dBm
18:17:19	106		-88 dBm                     -88 dBm                     -92 dBm
18:17:22	107		-88 dBm                     -88 dBm                     -92 dBm
18:17:24	108		-88 dBm                     -88 dBm                     -92 dBm
18:17:37	109		-88 dBm                     -88 dBm                     -92 dBm
18:17:40	110		-88 dBm                     -88 dBm                     -92 dBm
18:17:42	111		-88 dBm                     -88 dBm                     -92 dBm
18:17:45	112		-88 dBm                     -88 dBm                     -92 dBm
18:17:48	113		-88 dBm                     -88 dBm                     -92 dBm
18:17:50	114		-88 dBm                     -88 dBm                     -92 dBm
18:17:53	115		-88 dBm                     -88 dBm                     -92 dBm
18:17:56	116		-88 dBm                     -88 dBm                     -92 dBm
18:17:58	117		-88 dBm                     -88 dBm                     -92 dBm
18:18:01	118		-88 dBm                     -88 dBm                     -92 dBm
18:18:03	119		-88 dBm                     -88 dBm                     -92 dBm
18:18:06	120		-88 dBm                     -88 dBm                     -92 dBm
18:18:09	121		-88 dBm                     -88 dBm                     -92 dBm
18:18:11	122		-88 dBm                     -88 dBm                     -92 dBm
18:18:14	123		-88 dBm                     -88 dBm                     -92 dBm
18:18:17	124		-88 dBm                     -88 dBm                     -92 dBm
18:18:19	125		-88 dBm                     -88 dBm                     -92 dBm
18:18:22	126		-88 dBm                     -88 dBm                     -92 dBm
18:18:27	127		-88 dBm                     -88 dBm                     -92 dBm
18:18:31	128		-88 dBm                     -88 dBm                     -92 dBm
