Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
15:24:57	1		-79 dBm                     -72 dBm                     -89 dBm
15:24:59	2		-79 dBm                     -78 dBm                     -89 dBm
15:25:01	3		-79 dBm                     -75 dBm                     -89 dBm
15:25:04	4		-79 dBm                     -76 dBm                     -89 dBm
15:25:06	5		-79 dBm                     -70 dBm                     -89 dBm
15:25:08	6		-79 dBm                     -76 dBm                     -80 dBm
15:25:11	7		-79 dBm                     -74 dBm                     -80 dBm
15:25:13	8		-79 dBm                     -68 dBm                     -80 dBm
15:25:16	9		-79 dBm                     -70 dBm                     -80 dBm
15:25:18	10		-79 dBm                     -68 dBm                     -80 dBm
15:25:21	11		-79 dBm                     -75 dBm                     -80 dBm
15:25:23	12		-79 dBm                     -65 dBm                     -86 dBm
15:25:25	13		-79 dBm                     -68 dBm                     -86 dBm
15:25:28	14		-79 dBm                     -77 dBm                     -82 dBm
15:25:30	15		-79 dBm                     -68 dBm                     -82 dBm
15:25:32	16		-79 dBm                     -72 dBm                     -82 dBm
15:25:35	17		-80 dBm                     -68 dBm                     -82 dBm
15:25:37	18		-80 dBm                     -68 dBm                     -82 dBm
15:25:39	19		-80 dBm                     -72 dBm                     -82 dBm
15:25:42	20		-80 dBm                     -69 dBm                     -83 dBm
15:25:44	21		-81 dBm                     -70 dBm                     -75 dBm
15:25:46	22		-83 dBm                     -72 dBm                     -79 dBm
15:25:49	23		-82 dBm                     -65 dBm                     -79 dBm
15:25:51	24		-82 dBm                     -68 dBm                     -77 dBm
15:25:53	25		-82 dBm                     -71 dBm                     -79 dBm
15:25:56	26		-82 dBm                     -73 dBm                     -84 dBm
15:25:58	27		-82 dBm                     -72 dBm                     -81 dBm
15:26:00	28		-82 dBm                     -74 dBm                     -81 dBm
15:26:03	29		-82 dBm                     -69 dBm                     -72 dBm
15:26:05	30		-82 dBm                     -66 dBm                     -74 dBm
15:26:07	31		-82 dBm                     -64 dBm                     -79 dBm
15:26:10	32		-82 dBm                     -76 dBm                     -85 dBm
15:26:12	33		-82 dBm                     -68 dBm                     -85 dBm
15:26:14	34		-82 dBm                     -71 dBm                     -87 dBm
15:26:17	35		-86 dBm                     -77 dBm                     -85 dBm
15:26:19	36		-86 dBm                     -68 dBm                     -85 dBm
15:26:21	37		-86 dBm                     -73 dBm                     -85 dBm
15:26:24	38		-86 dBm                     -77 dBm                     -78 dBm
15:26:26	39		-80 dBm                     -69 dBm                     -78 dBm
15:26:28	40		-84 dBm                     -63 dBm                     -78 dBm
15:26:31	41		-84 dBm                     -70 dBm                     -78 dBm
15:26:33	42		-83 dBm                     -65 dBm                     -78 dBm
15:26:35	43		-80 dBm                     -72 dBm                     -78 dBm
15:26:38	44		-80 dBm                     -65 dBm                     -78 dBm
15:26:40	45		-83 dBm                     -65 dBm                     -81 dBm
15:26:42	46		-78 dBm                     -66 dBm                     -75 dBm
15:26:45	47		-78 dBm                     -64 dBm                     -75 dBm
15:26:47	48		-78 dBm                     -74 dBm                     -79 dBm
15:26:49	49		-79 dBm                     -68 dBm                     -76 dBm
15:26:52	50		-79 dBm                     -61 dBm                     -76 dBm
15:26:54	51		-79 dBm                     -65 dBm                     -73 dBm
15:26:56	52		-81 dBm                     -70 dBm                     -75 dBm
15:26:59	53		-81 dBm                     -63 dBm                     -83 dBm
15:27:01	54		-81 dBm                     -60 dBm                     -83 dBm
15:27:03	55		-81 dBm                     -61 dBm                     -81 dBm
15:27:06	56		-81 dBm                     -61 dBm                     -85 dBm
15:27:08	57		-82 dBm                     -60 dBm                     -85 dBm
15:27:10	58		-82 dBm                     -64 dBm                     -85 dBm
15:27:13	59		-71 dBm                     -67 dBm                     -85 dBm
15:27:15	60		-71 dBm                     -62 dBm                     -85 dBm
15:27:18	61		-78 dBm                     -64 dBm                     -79 dBm
15:27:20	62		-77 dBm                     -63 dBm                     -81 dBm
15:27:22	63		-77 dBm                     -59 dBm                     -83 dBm
15:27:25	64		-77 dBm                     -57 dBm                     -77 dBm
15:27:27	65		-77 dBm                     -62 dBm                     -78 dBm
15:27:29	66		-77 dBm                     -58 dBm                     -75 dBm
15:27:32	67		-77 dBm                     -58 dBm                     -72 dBm
15:27:34	68		-75 dBm                     -57 dBm                     -70 dBm
15:27:37	69		-75 dBm                     -71 dBm                     -70 dBm
15:27:39	70		-75 dBm                     -63 dBm                     -75 dBm
15:27:42	71		-79 dBm                     -67 dBm                     -76 dBm
15:27:44	72		-73 dBm                     -73 dBm                     -72 dBm
15:27:46	73		-73 dBm                     -70 dBm                     -76 dBm
15:27:49	74		-75 dBm                     -68 dBm                     -76 dBm
15:27:51	75		-75 dBm                     -66 dBm                     -71 dBm
15:27:54	76		-75 dBm                     -64 dBm                     -70 dBm
15:27:56	77		-75 dBm                     -70 dBm                     -70 dBm
15:27:58	78		-74 dBm                     -67 dBm                     -68 dBm
15:28:01	79		-77 dBm                     -71 dBm                     -70 dBm
15:28:03	80		-77 dBm                     -69 dBm                     -70 dBm
15:28:05	81		-77 dBm                     -70 dBm                     -68 dBm
15:28:08	82		-77 dBm                     -67 dBm                     -71 dBm
15:28:10	83		-77 dBm                     -66 dBm                     -74 dBm
15:28:12	84		-77 dBm                     -66 dBm                     -74 dBm
