Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
11:29:54	102		-73 dBm                     -70 dBm                     -78 dBm
11:29:57	103		-73 dBm                     -70 dBm                     -73 dBm
11:29:59	104		-73 dBm                     -70 dBm                     -73 dBm
11:30:02	105		-75 dBm                     -69 dBm                     -77 dBm
11:30:04	106		-75 dBm                     -73 dBm                     -77 dBm
11:30:06	107		-75 dBm                     -73 dBm                     -74 dBm
11:30:09	108		-78 dBm                     -68 dBm                     -74 dBm
11:30:11	109		-78 dBm                     -71 dBm                     -74 dBm
11:30:14	110		-72 dBm                     -73 dBm                     -72 dBm
11:30:16	111		-72 dBm                     -70 dBm                     -71 dBm
11:30:18	112		-70 dBm                     -70 dBm                     -71 dBm
11:30:21	113		-65 dBm                     -68 dBm                     -71 dBm
11:30:23	114		-75 dBm                     -74 dBm                     -76 dBm
11:30:25	115		-75 dBm                     -70 dBm                     -68 dBm
11:30:28	116		-78 dBm                     -71 dBm                     -69 dBm
11:30:30	117		-78 dBm                     -72 dBm                     -74 dBm
11:30:33	118		-76 dBm                     -70 dBm                     -71 dBm
11:30:35	119		-76 dBm                     -71 dBm                     -70 dBm
11:30:37	120		-73 dBm                     -77 dBm                     -71 dBm
11:30:40	121		-73 dBm                     -74 dBm                     -71 dBm
11:30:42	122		-71 dBm                     -70 dBm                     -70 dBm
11:30:45	123		-71 dBm                     -73 dBm                     -70 dBm
11:30:47	124		-71 dBm                     -73 dBm                     -70 dBm
11:30:49	125		-71 dBm                     -72 dBm                     -72 dBm
11:30:52	126		-67 dBm                     -76 dBm                     -72 dBm
11:30:54	127		-75 dBm                     -72 dBm                     -74 dBm
11:30:56	128		-71 dBm                     -74 dBm                     -74 dBm
11:31:01	129		-72 dBm                     -74 dBm                     -74 dBm
11:31:03	130		-68 dBm                     -74 dBm                     -68 dBm
11:31:06	131		-68 dBm                     -74 dBm                     -68 dBm
11:31:08	132		-68 dBm                     -74 dBm                     -62 dBm
11:31:10	133		-65 dBm                     -69 dBm                     -59 dBm
11:31:13	134		-76 dBm                     -76 dBm                     -63 dBm
11:31:15	135		-65 dBm                     -76 dBm                     -61 dBm
11:31:18	136		-67 dBm                     -76 dBm                     -63 dBm
11:31:20	137		-62 dBm                     -76 dBm                     -60 dBm
11:31:22	138		-66 dBm                     -76 dBm                     -62 dBm
11:31:25	139		-68 dBm                     -79 dBm                     -68 dBm
11:31:27	140		-69 dBm                     -74 dBm                     -61 dBm
11:31:30	141		-69 dBm                     -77 dBm                     -58 dBm
11:31:32	142		-71 dBm                     -79 dBm                     -57 dBm
11:31:34	143		-67 dBm                     -79 dBm                     -56 dBm
11:31:37	144		-71 dBm                     -74 dBm                     -56 dBm
11:31:39	145		-67 dBm                     -81 dBm                     -54 dBm
11:31:41	146		-70 dBm                     -81 dBm                     -52 dBm
11:31:44	147		-64 dBm                     -81 dBm                     -52 dBm
11:31:46	148		-64 dBm                     -81 dBm                     -54 dBm
11:31:49	149		-66 dBm                     -80 dBm                     -54 dBm
11:31:51	150		-69 dBm                     -76 dBm                     -54 dBm
11:31:53	151		-69 dBm                     -79 dBm                     -56 dBm
