Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
16:10:40	102		-73 dBm                     -79 dBm                     -71 dBm
16:10:42	103		-73 dBm                     -83 dBm                     -71 dBm
16:10:45	104		-73 dBm                     -83 dBm                     -71 dBm
16:10:47	105		-70 dBm                     -72 dBm                     -69 dBm
16:10:50	106		-70 dBm                     -72 dBm                     -67 dBm
16:10:52	107		-70 dBm                     -79 dBm                     -71 dBm
16:10:55	108		-70 dBm                     -86 dBm                     -71 dBm
16:10:57	109		-70 dBm                     -80 dBm                     -71 dBm
16:10:59	110		-70 dBm                     -78 dBm                     -71 dBm
16:11:02	111		-72 dBm                     -80 dBm                     -75 dBm
16:11:04	112		-72 dBm                     -80 dBm                     -75 dBm
16:11:07	113		-72 dBm                     -79 dBm                     -75 dBm
16:11:09	114		-72 dBm                     -79 dBm                     -68 dBm
16:11:11	115		-72 dBm                     -76 dBm                     -71 dBm
16:11:14	116		-72 dBm                     -76 dBm                     -71 dBm
16:11:16	117		-72 dBm                     -84 dBm                     -73 dBm
16:11:19	118		-80 dBm                     -80 dBm                     -73 dBm
16:11:21	119		-80 dBm                     -74 dBm                     -73 dBm
16:11:24	120		-78 dBm                     -74 dBm                     -73 dBm
16:11:26	121		-74 dBm                     -78 dBm                     -68 dBm
16:11:28	122		-74 dBm                     -75 dBm                     -68 dBm
16:11:31	123		-76 dBm                     -79 dBm                     -71 dBm
16:11:33	124		-76 dBm                     -79 dBm                     -71 dBm
16:11:36	125		-76 dBm                     -79 dBm                     -73 dBm
16:11:38	126		-76 dBm                     -75 dBm                     -73 dBm
16:11:41	127		-76 dBm                     -79 dBm                     -73 dBm
16:11:43	128		-77 dBm                     -76 dBm                     -74 dBm
16:11:45	129		-77 dBm                     -74 dBm                     -76 dBm
16:12:13	130		-77 dBm                     -74 dBm                     -76 dBm
16:12:22	131		-79 dBm                     -77 dBm                     -79 dBm
16:12:27	132		-72 dBm                     -81 dBm                     -79 dBm
16:12:30	133		-77 dBm                     -78 dBm                     -74 dBm
16:12:32	134		-77 dBm                     -79 dBm                     -72 dBm
16:12:35	135		-78 dBm                     -79 dBm                     -72 dBm
16:12:37	136		-79 dBm                     -79 dBm                     -75 dBm
16:13:01	137		-73 dBm                     -79 dBm                     -72 dBm
16:13:03	138		-74 dBm                     -79 dBm                     -74 dBm
16:13:06	139		-77 dBm                     -84 dBm                     -72 dBm
16:13:08	140		-78 dBm                     -84 dBm                     -83 dBm
16:13:10	141		-78 dBm                     -84 dBm                     -83 dBm
16:13:13	142		-78 dBm                     -89 dBm                     -76 dBm
16:13:15	143		-78 dBm                     -84 dBm                     -76 dBm
16:13:18	144		-78 dBm                     -85 dBm                     -76 dBm
16:13:21	145		-82 dBm                     -77 dBm                     -78 dBm
16:13:23	146		-82 dBm                     -77 dBm                     -78 dBm
16:13:26	147		-82 dBm                     -77 dBm                     -78 dBm
16:13:28	148		-82 dBm                     -77 dBm                     -80 dBm
16:13:30	149		-87 dBm                     -77 dBm                     -75 dBm
16:13:33	150		-87 dBm                     -85 dBm                     -82 dBm
16:13:35	151		-81 dBm                     -85 dBm                     -77 dBm
16:13:37	152		-81 dBm                     -85 dBm                     -77 dBm
16:13:40	153		-81 dBm                     -85 dBm                     -77 dBm
16:13:42	154		-81 dBm                     -85 dBm                     -77 dBm
16:13:45	155		-89 dBm                     -81 dBm                     -82 dBm
16:13:47	156		-89 dBm                     -90 dBm                     -82 dBm
16:13:50	157		-82 dBm                     -90 dBm                     -79 dBm
16:13:52	158		-82 dBm                     -90 dBm                     -79 dBm
16:13:54	159		-82 dBm                     -90 dBm                     -76 dBm
16:13:57	160		-82 dBm                     -90 dBm                     -76 dBm
16:13:59	161		-81 dBm                     -86 dBm                     -78 dBm
16:14:01	162		-79 dBm                     -86 dBm                     -78 dBm
16:14:04	163		-79 dBm                     -86 dBm                     -78 dBm
16:14:06	164		-79 dBm                     -86 dBm                     -78 dBm
16:14:08	165		-79 dBm                     -85 dBm                     -78 dBm
16:14:11	166		-81 dBm                     -85 dBm                     -78 dBm
16:14:13	167		-82 dBm                     -84 dBm                     -78 dBm
16:14:15	168		-79 dBm                     -84 dBm                     -71 dBm
16:14:18	169		-79 dBm                     -84 dBm                     -71 dBm
16:14:20	170		-82 dBm                     -84 dBm                     -78 dBm
16:14:22	171		-82 dBm                     -84 dBm                     -78 dBm
16:14:25	172		-82 dBm                     -84 dBm                     -77 dBm
16:14:27	173		-82 dBm                     -84 dBm                     -77 dBm
16:14:29	174		-82 dBm                     -84 dBm                     -77 dBm
16:14:32	175		-82 dBm                     -84 dBm                     -77 dBm
16:14:34	176		-82 dBm                     -84 dBm                     -77 dBm
16:14:37	177		-82 dBm                     -84 dBm                     -77 dBm
16:14:39	178		-82 dBm                     -84 dBm                     -77 dBm
16:14:41	179		-82 dBm                     -84 dBm                     -77 dBm
16:14:44	180		-84 dBm                     -84 dBm                     -83 dBm
16:14:46	181		-84 dBm                     -84 dBm                     -80 dBm
16:14:49	182		-84 dBm                     -89 dBm                     -80 dBm
16:14:51	183		-84 dBm                     -89 dBm                     -80 dBm
16:14:53	184		-84 dBm                     -81 dBm                     -80 dBm
16:14:56	185		-84 dBm                     -81 dBm                     -80 dBm
16:14:58	186		-84 dBm                     -81 dBm                     -80 dBm
16:15:01	187		-84 dBm                     -81 dBm                     -80 dBm
16:15:03	188		-84 dBm                     -85 dBm                     -74 dBm
16:15:05	189		-84 dBm                     -87 dBm                     -83 dBm
16:15:08	190		-84 dBm                     -87 dBm                     -83 dBm
16:15:10	191		-84 dBm                     -87 dBm                     -83 dBm
16:15:12	192		-84 dBm                     -87 dBm                     -76 dBm
16:15:16	193		-84 dBm                     -84 dBm                     -78 dBm
16:15:18	194		-84 dBm                     -83 dBm                     -85 dBm
16:15:21	195		-84 dBm                     -83 dBm                     -85 dBm
16:15:23	196		-80 dBm                     -90 dBm                     -80 dBm
16:15:25	197		-80 dBm                     -89 dBm                     -85 dBm
16:15:28	198		-80 dBm                     -89 dBm                     -81 dBm
16:15:30	199		-80 dBm                     -85 dBm                     -78 dBm
16:15:32	200		-80 dBm                     -86 dBm                     -75 dBm
16:15:35	201		-80 dBm                     -86 dBm                     -75 dBm
16:15:37	202		-80 dBm                     -85 dBm                     -79 dBm
16:15:40	203		-90 dBm                     -86 dBm                     -87 dBm
16:15:42	204		-90 dBm                     -86 dBm                     -90 dBm
16:15:44	205		-90 dBm                     -86 dBm                     -81 dBm
16:15:47	206		-90 dBm                     -86 dBm                     -77 dBm
16:15:49	207		-90 dBm                     -86 dBm                     -77 dBm
16:15:51	208		-90 dBm                     -86 dBm                     -82 dBm
16:15:54	209		-90 dBm                     -86 dBm                     -82 dBm
16:15:56	210		-90 dBm                     -86 dBm                     -82 dBm
16:15:58	211		-90 dBm                     -80 dBm                     -79 dBm
16:16:01	212		-90 dBm                     -88 dBm                     -79 dBm
16:16:03	213		-90 dBm                     -84 dBm                     -77 dBm
16:16:05	214		-90 dBm                     -87 dBm                     -77 dBm
16:16:08	215		-90 dBm                     -87 dBm                     -77 dBm
16:16:13	216		-90 dBm                     -91 dBm                     -77 dBm
16:16:15	217		-90 dBm                     -91 dBm                     -79 dBm
16:16:18	218		-91 dBm                     -91 dBm                     -78 dBm
16:16:20	219		-91 dBm                     -87 dBm                     -78 dBm
16:16:22	220		-91 dBm                     -87 dBm                     -78 dBm
16:16:25	221		-91 dBm                     -89 dBm                     -78 dBm
16:16:27	222		-91 dBm                     -88 dBm                     -78 dBm
16:16:29	223		-91 dBm                     -85 dBm                     -78 dBm
16:16:32	224		-91 dBm                     -85 dBm                     -78 dBm
16:16:34	225		-91 dBm                     -85 dBm                     -78 dBm
16:16:36	226		-91 dBm                     -85 dBm                     -78 dBm
16:16:39	227		-91 dBm                     -85 dBm                     -78 dBm
16:16:41	228		-91 dBm                     -84 dBm                     -78 dBm
16:16:44	229		-91 dBm                     -84 dBm                     -78 dBm
16:16:46	230		-91 dBm                     -84 dBm                     -78 dBm
16:16:48	231		-91 dBm                     -84 dBm                     -83 dBm
16:16:51	232		-86 dBm                     -84 dBm                     -78 dBm
16:16:53	233		-86 dBm                     -84 dBm                     -79 dBm
16:16:55	234		-86 dBm                     -84 dBm                     -79 dBm
16:16:58	235		-86 dBm                     -84 dBm                     -78 dBm
