Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
16:37:53	103		-89 dBm                     -88 dBm                     -88 dBm
16:37:55	104		-89 dBm                     -87 dBm                     -88 dBm
16:37:58	105		-89 dBm                     -87 dBm                     -88 dBm
16:38:00	106		-89 dBm                     -87 dBm                     -87 dBm
16:38:02	107		-89 dBm                     -87 dBm                     -87 dBm
16:38:05	108		-89 dBm                     -81 dBm                     -87 dBm
16:38:07	109		-89 dBm                     -81 dBm                     -87 dBm
16:38:10	110		-89 dBm                     -81 dBm                     -87 dBm
16:38:12	111		-89 dBm                     -81 dBm                     -87 dBm
16:38:15	112		-89 dBm                     -81 dBm                     -87 dBm
16:38:17	113		-89 dBm                     -81 dBm                     -87 dBm
16:38:21	114		-89 dBm                     -81 dBm                     -86 dBm
16:38:23	115		-89 dBm                     -81 dBm                     -80 dBm
16:38:26	116		-89 dBm                     -81 dBm                     -78 dBm
16:38:28	117		-89 dBm                     -81 dBm                     -87 dBm
16:38:31	118		-89 dBm                     -81 dBm                     -87 dBm
16:38:33	119		-89 dBm                     -81 dBm                     -87 dBm
16:38:35	120		-89 dBm                     -81 dBm                     -87 dBm
16:38:38	121		-89 dBm                     -81 dBm                     -87 dBm
16:38:40	122		-89 dBm                     -81 dBm                     -87 dBm
16:38:43	123		-89 dBm                     -81 dBm                     -87 dBm
16:38:45	124		-89 dBm                     -81 dBm                     -84 dBm
16:38:47	125		-89 dBm                     -81 dBm                     -83 dBm
16:38:50	126		-89 dBm                     -81 dBm                     -83 dBm
16:38:52	127		-89 dBm                     -81 dBm                     -83 dBm
16:38:54	128		-89 dBm                     -81 dBm                     -83 dBm
16:38:57	129		-89 dBm                     -81 dBm                     -83 dBm
16:38:59	130		-89 dBm                     -81 dBm                     -83 dBm
16:39:02	131		-89 dBm                     -89 dBm                     -88 dBm
16:39:04	132		-89 dBm                     -89 dBm                     -88 dBm
16:39:06	133		-89 dBm                     -89 dBm                     -93 dBm
16:39:09	134		-89 dBm                     -89 dBm                     -93 dBm
16:39:11	135		-89 dBm                     -89 dBm                     -93 dBm
16:39:14	136		-89 dBm                     -81 dBm                     -89 dBm
16:39:16	137		-91 dBm                     -85 dBm                     -86 dBm
16:39:19	138		-91 dBm                     -85 dBm                     -86 dBm
16:39:21	139		-91 dBm                     -85 dBm                     -86 dBm
16:39:23	140		-91 dBm                     -86 dBm                     -86 dBm
16:39:26	141		-91 dBm                     -86 dBm                     -86 dBm
16:39:28	142		-91 dBm                     -86 dBm                     -86 dBm
16:39:31	143		-91 dBm                     -88 dBm                     -86 dBm
16:39:33	144		-91 dBm                     -86 dBm                     -86 dBm
16:39:35	145		-91 dBm                     -86 dBm                     -88 dBm
16:39:38	146		-91 dBm                     -86 dBm                     -87 dBm
16:39:40	147		-91 dBm                     -86 dBm                     -87 dBm
16:39:43	148		-91 dBm                     -86 dBm                     -87 dBm
16:39:45	149		-91 dBm                     -86 dBm                     -87 dBm
16:39:48	150		-91 dBm                     -86 dBm                     -87 dBm
16:39:50	151		-91 dBm                     -86 dBm                     -87 dBm
16:39:52	152		-91 dBm                     -86 dBm                     -90 dBm
16:39:55	153		-91 dBm                     -86 dBm                     -90 dBm
16:39:57	154		-91 dBm                     -86 dBm                     -87 dBm
16:40:00	155		-91 dBm                     -89 dBm                     -87 dBm
16:40:02	156		-91 dBm                     -92 dBm                     -87 dBm
16:40:04	157		-91 dBm                     -92 dBm                     -89 dBm
16:40:07	158		-91 dBm                     -89 dBm                     -88 dBm
16:40:09	159		-91 dBm                     -89 dBm                     -88 dBm
16:40:11	160		-91 dBm                     -89 dBm                     -88 dBm
16:40:14	161		-91 dBm                     -89 dBm                     -86 dBm
16:40:16	162		-91 dBm                     -91 dBm                     -86 dBm
16:40:19	163		-91 dBm                     -89 dBm                     -90 dBm
16:40:21	164		-91 dBm                     -89 dBm                     -90 dBm
16:40:23	165		-91 dBm                     -89 dBm                     -90 dBm
16:40:26	166		-91 dBm                     -89 dBm                     -90 dBm
16:40:28	167		-91 dBm                     -89 dBm                     -90 dBm
16:40:31	168		-91 dBm                     -89 dBm                     -90 dBm
16:40:33	169		-91 dBm                     -89 dBm                     -90 dBm
16:40:35	170		-91 dBm                     -89 dBm                     -89 dBm
16:40:38	171		-91 dBm                     -89 dBm                     -89 dBm
16:40:40	172		-91 dBm                     -89 dBm                     -89 dBm
16:40:43	173		-91 dBm                     -89 dBm                     -89 dBm
16:40:45	174		-91 dBm                     -89 dBm                     -89 dBm
16:40:48	175		-91 dBm                     -89 dBm                     -89 dBm
16:40:50	176		-91 dBm                     -89 dBm                     -91 dBm
16:40:53	177		-91 dBm                     -89 dBm                     -91 dBm
16:40:55	178		-91 dBm                     -89 dBm                     -91 dBm
16:40:57	179		-91 dBm                     -89 dBm                     -91 dBm
16:41:00	180		-91 dBm                     -89 dBm                     -91 dBm
16:41:02	181		-91 dBm                     -89 dBm                     -91 dBm
16:41:05	182		-91 dBm                     -89 dBm                     -91 dBm
16:41:07	183		-91 dBm                     -89 dBm                     -91 dBm
16:41:09	184		-91 dBm                     -89 dBm                     -91 dBm
16:41:12	185		-91 dBm                     -89 dBm                     -91 dBm
16:41:14	186		-91 dBm                     -89 dBm                     -91 dBm
